"","Channel 1 Ave. (C)"
"00:02:47","21.456"
"00:02:48","21.451"
"00:02:49","21.452"
"00:02:50","21.456"
"00:02:51","21.445"
"00:02:52","21.445"
"00:02:53","21.447"
"00:02:54","21.455"
"00:02:55","21.458"
"00:02:56","21.447"
"00:02:57","21.455"
"00:02:58","21.449"
"00:02:59","21.448"
"00:03:00","21.455"
"00:03:01","21.451"
"00:03:02","21.461"
"00:03:03","21.452"
"00:03:04","21.453"
"00:03:05","21.448"
"00:03:06","21.457"
"00:03:07","21.443"
"00:03:08","21.452"
"00:03:09","21.450"
"00:03:10","21.450"
"00:03:11","21.450"
"00:03:12","21.446"
"00:03:13","21.448"
"00:03:14","21.458"
"00:03:15","21.459"
"00:03:16","21.463"
"00:03:17","21.463"
"00:03:18","21.463"
"00:03:19","21.463"
"00:03:20","21.458"
"00:03:21","21.460"
"00:03:22","21.456"
"00:03:23","21.458"
"00:03:24","21.456"
"00:03:25","21.460"
"00:03:26","21.456"
"00:03:27","21.460"
"00:03:28","21.454"
"00:03:29","21.462"
"00:03:30","21.458"
"00:03:31","21.454"
"00:03:32","21.458"
"00:03:33","21.454"
"00:03:34","21.464"
"00:03:35","21.460"
"00:03:36","21.456"
"00:03:37","21.456"
"00:03:38","21.458"
"00:03:39","21.462"
"00:03:40","21.458"
"00:03:41","21.460"
"00:03:42","21.464"
"00:03:43","21.469"
"00:03:44","21.465"
"00:03:45","21.467"
"00:03:46","21.460"
"00:03:47","21.462"
"00:03:48","21.466"
"00:03:49","21.456"
"00:03:50","21.462"
"00:03:51","21.458"
"00:03:52","21.462"
"00:03:53","21.465"
"00:03:54","21.460"
"00:03:55","21.463"
"00:03:56","21.465"
"00:03:57","21.467"
"00:03:58","21.472"
"00:03:59","21.463"
"00:04:00","21.469"
"00:04:01","21.465"
"00:04:02","21.458"
"00:04:03","21.459"
"00:04:04","21.448"
"00:04:05","21.454"
"00:04:06","21.450"
"00:04:07","21.463"
"00:04:08","21.467"
"00:04:09","21.468"
"00:04:10","21.459"
"00:04:11","21.465"
"00:04:12","21.467"
"00:04:13","21.465"
"00:04:14","21.468"
"00:04:15","21.465"
"00:04:16","21.468"
"00:04:17","21.461"
"00:04:18","21.461"
"00:04:19","21.468"
"00:04:20","21.470"
"00:04:21","21.472"
"00:04:22","21.471"
"00:04:23","21.464"
"00:04:24","21.473"
"00:04:25","21.468"
"00:04:26","21.471"
"00:04:27","21.466"
"00:04:28","21.469"
"00:04:29","21.460"
"00:04:30","21.464"
"00:04:31","21.465"
"00:04:32","21.460"
"00:04:33","21.464"
"00:04:34","21.462"
"00:04:35","21.454"
"00:04:36","21.462"
"00:04:37","21.467"
"00:04:38","21.463"
"00:04:39","21.463"
"00:04:40","21.469"
"00:04:41","21.474"
"00:04:42","21.472"
"00:04:43","21.480"
"00:04:44","21.476"
"00:04:45","21.474"
"00:04:46","21.483"
"00:04:47","21.477"
"00:04:48","21.483"
"00:04:49","21.475"
"00:04:50","21.470"
"00:04:51","21.472"
"00:04:52","21.473"
"00:04:53","21.475"
"00:04:54","21.471"
"00:04:55","21.481"
"00:04:56","21.471"
"00:04:57","21.475"
"00:04:58","21.475"
"00:04:59","21.484"
"00:05:00","21.488"
"00:05:01","21.488"
"00:05:02","21.486"
"00:05:03","21.487"
"00:05:04","21.480"
"00:05:05","21.487"
"00:05:06","21.487"
"00:05:07","21.489"
"00:05:08","21.481"
"00:05:09","21.489"
"00:05:10","21.483"
"00:05:11","21.485"
"00:05:12","21.485"
"00:05:13","21.487"
"00:05:14","21.492"
"00:05:15","21.477"
"00:05:16","21.492"
"00:05:17","21.492"
"00:05:18","21.488"
"00:05:19","21.486"
"00:05:20","21.484"
"00:05:21","21.491"
"00:05:22","21.491"
"00:05:23","21.489"
"00:05:24","21.480"
"00:05:25","21.493"
"00:05:26","21.497"
"00:05:27","21.489"
"00:05:28","21.491"
"00:05:29","21.483"
"00:05:30","21.493"
"00:05:31","21.492"
"00:05:32","21.496"
"00:05:33","21.483"
"00:05:34","21.483"
"00:05:35","21.489"
"00:05:36","21.492"
"00:05:37","21.490"
"00:05:38","21.490"
"00:05:39","21.499"
"00:05:40","21.481"
"00:05:41","21.486"
"00:05:42","21.493"
"00:05:43","21.488"
"00:05:44","21.497"
"00:05:45","21.495"
"00:05:46","21.493"
"00:05:47","21.495"
"00:05:48","21.493"
"00:05:49","21.484"
"00:05:50","21.489"
"00:05:51","21.493"
"00:05:52","21.489"
"00:05:53","21.491"
"00:05:54","21.489"
"00:05:55","21.482"
"00:05:56","21.496"
"00:05:57","21.494"
"00:05:58","21.494"
"00:05:59","21.494"
"00:06:00","21.491"
"00:06:01","21.496"
"00:06:02","21.503"
"00:06:03","21.488"
"00:06:04","21.488"
"00:06:05","21.483"
"00:06:06","21.475"
"00:06:07","21.485"
"00:06:08","21.486"
"00:06:09","21.481"
"00:06:10","21.488"
"00:06:11","21.495"
"00:06:12","21.495"
"00:06:13","21.497"
"00:06:14","21.504"
"00:06:15","21.497"
"00:06:16","21.501"
"00:06:17","21.501"
"00:06:18","21.480"
"00:06:19","21.476"
"00:06:20","21.486"
"00:06:21","21.487"
"00:06:22","21.485"
"00:06:23","21.484"
"00:06:24","21.482"
"00:06:25","21.487"
"00:06:26","21.483"
"00:06:27","21.487"
"00:06:28","21.487"
"00:06:29","21.487"
"00:06:30","21.485"
"00:06:31","21.483"
"00:06:32","21.485"
"00:06:33","21.489"
"00:06:34","21.490"
"00:06:35","21.481"
"00:06:36","21.490"
"00:06:37","21.494"
"00:06:38","21.487"
"00:06:39","21.483"
"00:06:40","21.483"
"00:06:41","21.481"
"00:06:42","21.477"
"00:06:43","21.494"
"00:06:44","21.492"
"00:06:45","21.494"
"00:06:46","21.497"
"00:06:47","21.499"
"00:06:48","21.504"
"00:06:49","21.503"
"00:06:50","21.492"
"00:06:51","21.501"
"00:06:52","21.502"
"00:06:53","21.508"
"00:06:54","21.497"
"00:06:55","21.497"
"00:06:56","21.497"
"00:06:57","21.502"
"00:06:58","21.504"
"00:06:59","21.491"
"00:07:00","21.491"
"00:07:01","21.487"
"00:07:02","21.493"
"00:07:03","21.486"
"00:07:04","21.482"
"00:07:05","21.484"
"00:07:06","21.487"
"00:07:07","21.493"
"00:07:08","21.494"
"00:07:09","21.485"
"00:07:10","21.491"
"00:07:11","21.489"
"00:07:12","21.496"
"00:07:13","21.493"
"00:07:14","21.491"
"00:07:15","21.493"
"00:07:16","21.498"
"00:07:17","21.489"
"00:07:18","21.502"
"00:07:19","21.498"
"00:07:20","21.494"
"00:07:21","21.490"
"00:07:22","21.489"
"00:07:23","21.498"
"00:07:24","21.496"
"00:07:25","21.498"
"00:07:26","21.500"
"00:07:27","21.494"
"00:07:28","21.494"
"00:07:29","21.496"
"00:07:30","21.492"
"00:07:31","21.487"
"00:07:32","21.494"
"00:07:33","21.496"
"00:07:34","21.498"
"00:07:35","21.501"
"00:07:36","21.492"
"00:07:37","21.492"
"00:07:38","21.490"
"00:07:39","21.496"
"00:07:40","21.492"
"00:07:41","21.494"
"00:07:42","21.492"
"00:07:43","21.494"
"00:07:44","21.496"
"00:07:45","21.494"
"00:07:46","21.494"
"00:07:47","21.501"
"00:07:48","21.497"
"00:07:49","21.499"
"00:07:50","21.498"
"00:07:51","21.503"
"00:07:52","21.501"
"00:07:53","21.496"
"00:07:54","21.494"
"00:07:55","21.498"
"00:07:56","21.492"
"00:07:57","21.494"
"00:07:58","21.498"
"00:07:59","21.507"
"00:08:00","21.499"
"00:08:01","21.507"
"00:08:02","21.516"
"00:08:03","21.510"
"00:08:04","21.503"
"00:08:05","21.496"
"00:08:06","21.496"
"00:08:07","21.494"
"00:08:08","21.494"
"00:08:09","21.503"
"00:08:10","21.503"
"00:08:11","21.507"
"00:08:12","21.498"
"00:08:13","21.503"
"00:08:14","21.494"
"00:08:15","21.494"
"00:08:16","21.492"
"00:08:17","21.500"
"00:08:18","21.506"
"00:08:19","21.505"
"00:08:20","21.511"
"00:08:21","21.511"
"00:08:22","21.498"
"00:08:23","21.502"
"00:08:24","21.494"
"00:08:25","21.491"
"00:08:26","21.500"
"00:08:27","21.497"
"00:08:28","21.495"
"00:08:29","21.499"
"00:08:30","21.493"
"00:08:31","21.491"
"00:08:32","21.504"
"00:08:33","21.504"
"00:08:34","21.502"
"00:08:35","21.500"
"00:08:36","21.496"
"00:08:37","21.498"
"00:08:38","21.497"
"00:08:39","21.495"
"00:08:40","21.500"
"00:08:41","21.504"
"00:08:42","21.502"
"00:08:43","21.500"
"00:08:44","21.509"
"00:08:45","21.499"
"00:08:46","21.505"
"00:08:47","21.506"
"00:08:48","21.508"
"00:08:49","21.499"
"00:08:50","21.488"
"00:08:51","21.490"
"00:08:52","21.490"
"00:08:53","21.491"
"00:08:54","21.497"
"00:08:55","21.497"
"00:08:56","21.495"
"00:08:57","21.493"
"00:08:58","21.499"
"00:08:59","21.493"
"00:09:00","21.492"
"00:09:01","21.495"
"00:09:02","21.501"
"00:09:03","21.499"
"00:09:04","21.501"
"00:09:05","21.499"
"00:09:06","21.496"
"00:09:07","21.494"
"00:09:08","21.497"
"00:09:09","21.499"
"00:09:10","21.498"
"00:09:11","21.501"
"00:09:12","21.498"
"00:09:13","21.500"
"00:09:14","21.494"
"00:09:15","21.498"
"00:09:16","21.494"
"00:09:17","21.494"
"00:09:18","21.500"
"00:09:19","21.495"
"00:09:20","21.489"
"00:09:21","21.489"
"00:09:22","21.492"
"00:09:23","21.491"
"00:09:24","21.491"
"00:09:25","21.493"
"00:09:26","21.489"
"00:09:27","21.491"
"00:09:28","21.498"
"00:09:29","21.500"
"00:09:30","21.497"
"00:09:31","21.491"
"00:09:32","21.499"
"00:09:33","21.499"
"00:09:34","21.508"
"00:09:35","21.502"
"00:09:36","21.496"
"00:09:37","21.493"
"00:09:38","21.490"
"00:09:39","21.500"
"00:09:40","21.503"
"00:09:41","21.499"
"00:09:42","21.497"
"00:09:43","21.486"
"00:09:44","21.486"
"00:09:45","21.486"
"00:09:46","21.492"
"00:09:47","21.494"
"00:09:48","21.494"
"00:09:49","21.496"
"00:09:50","21.491"
"00:09:51","21.487"
"00:09:52","21.487"
"00:09:53","21.491"
"00:09:54","21.491"
"00:09:55","21.488"
"00:09:56","21.484"
"00:09:57","21.485"
"00:09:58","21.483"
"00:09:59","21.482"
"00:10:00","21.476"
"00:10:01","21.482"
"00:10:02","21.489"
"00:10:03","21.488"
"00:10:04","21.488"
"00:10:05","21.482"
"00:10:06","21.493"
"00:10:07","21.488"
"00:10:08","21.497"
"00:10:09","21.490"
"00:10:10","21.490"
"00:10:11","21.483"
"00:10:12","21.479"
"00:10:13","21.490"
"00:10:14","21.479"
"00:10:15","21.487"
"00:10:16","21.490"
"00:10:17","21.490"
"00:10:18","21.483"
"00:10:19","21.483"
"00:10:20","21.491"
"00:10:21","21.484"
"00:10:22","21.491"
"00:10:23","21.491"
"00:10:24","21.487"
"00:10:25","21.491"
"00:10:26","21.491"
"00:10:27","21.491"
"00:10:28","21.499"
"00:10:29","21.491"
"00:10:30","21.494"
"00:10:31","21.499"
"00:10:32","21.484"
"00:10:33","21.492"
"00:10:34","21.485"
"00:10:35","21.481"
"00:10:36","21.481"
"00:10:37","21.477"
"00:10:38","21.474"
"00:10:39","21.470"
"00:10:40","21.474"
"00:10:41","21.470"
"00:10:42","21.470"
"00:10:43","21.471"
"00:10:44","21.485"
"00:10:45","21.489"
"00:10:46","21.493"
"00:10:47","21.478"
"00:10:48","21.471"
"00:10:49","21.482"
"00:10:50","21.475"
"00:10:51","21.479"
"00:10:52","21.482"
"00:10:53","21.479"
"00:10:54","21.479"
"00:10:55","21.475"
"00:10:56","21.486"
"00:10:57","21.486"
"00:10:58","21.476"
"00:10:59","21.479"
"00:11:00","21.487"
"00:11:01","21.480"
"00:11:02","21.472"
"00:11:03","21.476"
"00:11:04","21.465"
"00:11:05","21.484"
"00:11:06","21.480"
"00:11:07","21.480"
"00:11:08","21.480"
"00:11:09","21.473"
"00:11:10","21.480"
"00:11:11","21.480"
"00:11:12","21.477"
"00:11:13","21.488"
"00:11:14","21.470"
"00:11:15","21.481"
"00:11:16","21.474"
"00:11:17","21.481"
"00:11:18","21.485"
"00:11:19","21.485"
"00:11:20","21.481"
"00:11:21","21.482"
"00:11:22","21.482"
"00:11:23","21.471"
"00:11:24","21.475"
"00:11:25","21.482"
"00:11:26","21.482"
"00:11:27","21.486"
"00:11:28","21.486"
"00:11:29","21.486"
"00:11:30","21.472"
"00:11:31","21.479"
"00:11:32","21.479"
"00:11:33","21.479"
"00:11:34","21.487"
"00:11:35","21.472"
"00:11:36","21.480"
"00:11:37","21.476"
"00:11:38","21.480"
"00:11:39","21.483"
"00:11:40","21.480"
"00:11:41","21.487"
"00:11:42","21.480"
"00:11:43","21.477"
"00:11:44","21.480"
"00:11:45","21.481"
"00:11:46","21.481"
"00:11:47","21.481"
"00:11:48","21.481"
"00:11:49","21.488"
"00:11:50","21.485"
"00:11:51","21.474"
"00:11:52","21.481"
"00:11:53","21.485"
"00:11:54","21.470"
"00:11:55","21.478"
"00:11:56","21.485"
"00:11:57","21.478"
"00:11:58","21.482"
"00:11:59","21.475"
"00:12:00","21.478"
"00:12:01","21.479"
"00:12:02","21.479"
"00:12:03","21.479"
"00:12:04","21.479"
"00:12:05","21.483"
"00:12:06","21.483"
"00:12:07","21.479"
"00:12:08","21.483"
"00:12:09","21.483"
"00:12:10","21.494"
"00:12:11","21.487"
"00:12:12","21.487"
"00:12:13","21.484"
"00:12:14","21.469"
"00:12:15","21.476"
"00:12:16","21.487"
"00:12:17","21.480"
"00:12:18","21.484"
"00:12:19","21.481"
"00:12:20","21.481"
"00:12:21","21.481"
"00:12:22","21.477"
"00:12:23","21.485"
"00:12:24","21.485"
"00:12:25","21.477"
"00:12:26","21.489"
"00:12:27","21.474"
"00:12:28","21.478"
"00:12:29","21.481"
"00:12:30","21.474"
"00:12:31","21.478"
"00:12:32","21.482"
"00:12:33","21.478"
"00:12:34","21.478"
"00:12:35","21.479"
"00:12:36","21.486"
"00:12:37","21.479"
"00:12:38","21.471"
"00:12:39","21.475"
"00:12:40","21.475"
"00:12:41","21.475"
"00:12:42","21.490"
"00:12:43","21.476"
"00:12:44","21.476"
"00:12:45","21.476"
"00:12:46","21.476"
"00:12:47","21.476"
"00:12:48","21.476"
"00:12:49","21.484"
"00:12:50","21.487"
"00:12:51","21.476"
"00:12:52","21.484"
"00:12:53","21.484"
"00:12:54","21.488"
"00:12:55","21.484"
"00:12:56","21.477"
"00:12:57","21.492"
"00:12:58","21.488"
"00:12:59","21.496"
"00:13:00","21.492"
"00:13:01","21.489"
"00:13:02","21.485"
"00:13:03","21.489"
"00:13:04","21.474"
"00:13:05","21.478"
"00:13:06","21.474"
"00:13:07","21.482"
"00:13:08","21.489"
"00:13:09","21.489"
"00:13:10","21.475"
"00:13:11","21.482"
"00:13:12","21.482"
"00:13:13","21.490"
"00:13:14","21.482"
"00:13:15","21.475"
"00:13:16","21.475"
"00:13:17","21.475"
"00:13:18","21.468"
"00:13:19","21.476"
"00:13:20","21.487"
"00:13:21","21.483"
"00:13:22","21.480"
"00:13:23","21.480"
"00:13:24","21.480"
"00:13:25","21.480"
"00:13:26","21.480"
"00:13:27","21.476"
"00:13:28","21.473"
"00:13:29","21.477"
"00:13:30","21.469"
"00:13:31","21.481"
"00:13:32","21.481"
"00:13:33","21.466"
"00:13:34","21.466"
"00:13:35","21.466"
"00:13:36","21.474"
"00:13:37","21.481"
"00:13:38","21.477"
"00:13:39","21.474"
"00:13:40","21.478"
"00:13:41","21.474"
"00:13:42","21.467"
"00:13:43","21.478"
"00:13:44","21.486"
"00:13:45","21.478"
"00:13:46","21.489"
"00:13:47","21.479"
"00:13:48","21.486"
"00:13:49","21.493"
"00:13:50","21.490"
"00:13:51","21.482"
"00:13:52","21.483"
"00:13:53","21.483"
"00:13:54","21.490"
"00:13:55","21.487"
"00:13:56","21.487"
"00:13:57","21.487"
"00:13:58","21.483"
"00:13:59","21.483"
"00:14:00","21.491"
"00:14:01","21.495"
"00:14:02","21.491"
"00:14:03","21.484"
"00:14:04","21.495"
"00:14:05","21.495"
"00:14:06","21.495"
"00:14:07","21.491"
"00:14:08","21.488"
"00:14:09","21.492"
"00:14:10","21.484"
"00:14:11","21.488"
"00:14:12","21.496"
"00:14:13","21.492"
"00:14:14","21.485"
"00:14:15","21.481"
"00:14:16","21.470"
"00:14:17","21.481"
"00:14:18","21.481"
"00:14:19","21.478"
"00:14:20","21.478"
"00:14:21","21.485"
"00:14:22","21.478"
"00:14:23","21.482"
"00:14:24","21.478"
"00:14:25","21.471"
"00:14:26","21.471"
"00:14:27","21.471"
"00:14:28","21.482"
"00:14:29","21.479"
"00:14:30","21.486"
"00:14:31","21.483"
"00:14:32","21.487"
"00:14:33","21.490"
"00:14:34","21.490"
"00:14:35","21.501"
"00:14:36","21.491"
"00:14:37","21.502"
"00:14:38","21.491"
"00:14:39","21.506"
"00:14:40","21.483"
"00:14:41","21.491"
"00:14:42","21.498"
"00:14:43","21.491"
"00:14:44","21.499"
"00:14:45","21.491"
"00:14:46","21.499"
"00:14:47","21.495"
"00:14:48","21.495"
"00:14:49","21.492"
"00:14:50","21.492"
"00:14:51","21.503"
"00:14:52","21.492"
"00:14:53","21.485"
"00:14:54","21.477"
"00:14:55","21.488"
"00:14:56","21.488"
"00:14:57","21.481"
"00:14:58","21.481"
"00:14:59","21.489"
"00:15:00","21.496"
"00:15:01","21.485"
"00:15:02","21.474"
"00:15:03","21.486"
"00:15:04","21.497"
"00:15:05","21.497"
"00:15:06","21.486"
"00:15:07","21.501"
"00:15:08","21.493"
"00:15:09","21.493"
"00:15:10","21.497"
"00:15:11","21.483"
"00:15:12","21.486"
"00:15:13","21.479"
"00:15:14","21.490"
"00:15:15","21.483"
"00:15:16","21.479"
"00:15:17","21.479"
"00:15:18","21.487"
"00:15:19","21.487"
"00:15:20","21.494"
"00:15:21","21.491"
"00:15:22","21.491"
"00:15:23","21.483"
"00:15:24","21.495"
"00:15:25","21.495"
"00:15:26","21.487"
"00:15:27","21.491"
"00:15:28","21.491"
"00:15:29","21.495"
"00:15:30","21.502"
"00:15:31","21.499"
"00:15:32","21.499"
"00:15:33","21.492"
"00:15:34","21.492"
"00:15:35","21.492"
"00:15:36","21.499"
"00:15:37","21.485"
"00:15:38","21.492"
"00:15:39","21.492"
"00:15:40","21.492"
"00:15:41","21.485"
"00:15:42","21.492"
"00:15:43","21.503"
"00:15:44","21.489"
"00:15:45","21.496"
"00:15:46","21.489"
"00:15:47","21.493"
"00:15:48","21.500"
"00:15:49","21.497"
"00:15:50","21.497"
"00:15:51","21.497"
"00:15:52","21.489"
"00:15:53","21.497"
"00:15:54","21.501"
"00:15:55","21.482"
"00:15:56","21.490"
"00:15:57","21.501"
"00:15:58","21.486"
"00:15:59","21.490"
"00:16:00","21.490"
"00:16:01","21.483"
"00:16:02","21.494"
"00:16:03","21.483"
"00:16:04","21.490"
"00:16:05","21.487"
"00:16:06","21.487"
"00:16:07","21.479"
"00:16:08","21.480"
"00:16:09","21.483"
"00:16:10","21.476"
"00:16:11","21.487"
"00:16:12","21.480"
"00:16:13","21.487"
"00:16:14","21.495"
"00:16:15","21.495"
"00:16:16","21.506"
"00:16:17","21.495"
"00:16:18","21.488"
"00:16:19","21.481"
"00:16:20","21.492"
"00:16:21","21.488"
"00:16:22","21.492"
"00:16:23","21.492"
"00:16:24","21.489"
"00:16:25","21.489"
"00:16:26","21.486"
"00:16:27","21.486"
"00:16:28","21.482"
"00:16:29","21.490"
"00:16:30","21.501"
"00:16:31","21.486"
"00:16:32","21.497"
"00:16:33","21.494"
"00:16:34","21.498"
"00:16:35","21.505"
"00:16:36","21.502"
"00:16:37","21.494"
"00:16:38","21.495"
"00:16:39","21.502"
"00:16:40","21.506"
"00:16:41","21.506"
"00:16:42","21.499"
"00:16:43","21.503"
"00:16:44","21.499"
"00:16:45","21.507"
"00:16:46","21.500"
"00:16:47","21.496"
"00:16:48","21.493"
"00:16:49","21.500"
"00:16:50","21.497"
"00:16:51","21.504"
"00:16:52","21.501"
"00:16:53","21.493"
"00:16:54","21.490"
"00:16:55","21.497"
"00:16:56","21.508"
"00:16:57","21.505"
"00:16:58","21.501"
"00:16:59","21.516"
"00:17:00","21.509"
"00:17:01","21.512"
"00:17:02","21.498"
"00:17:03","21.502"
"00:17:04","21.502"
"00:17:05","21.491"
"00:17:06","21.494"
"00:17:07","21.502"
"00:17:08","21.495"
"00:17:09","21.502"
"00:17:10","21.502"
"00:17:11","21.499"
"00:17:12","21.495"
"00:17:13","21.502"
"00:17:14","21.499"
"00:17:15","21.492"
"00:17:16","21.510"
"00:17:17","21.503"
"00:17:18","21.492"
"00:17:19","21.507"
"00:17:20","21.496"
"00:17:21","21.507"
"00:17:22","21.503"
"00:17:23","21.496"
"00:17:24","21.492"
"00:17:25","21.492"
"00:17:26","21.489"
"00:17:27","21.489"
"00:17:28","21.489"
"00:17:29","21.489"
"00:17:30","21.497"
"00:17:31","21.489"
"00:17:32","21.489"
"00:17:33","21.497"
"00:17:34","21.497"
"00:17:35","21.497"
"00:17:36","21.504"
"00:17:37","21.493"
"00:17:38","21.490"
"00:17:39","21.497"
"00:17:40","21.494"
"00:17:41","21.505"
"00:17:42","21.497"
"00:17:43","21.498"
"00:17:44","21.501"
"00:17:45","21.505"
"00:17:46","21.501"
"00:17:47","21.505"
"00:17:48","21.505"
"00:17:49","21.502"
"00:17:50","21.502"
"00:17:51","21.502"
"00:17:52","21.502"
"00:17:53","21.502"
"00:17:54","21.506"
"00:17:55","21.498"
"00:17:56","21.506"
"00:17:57","21.513"
"00:17:58","21.506"
"00:17:59","21.502"
"00:18:00","21.502"
"00:18:01","21.506"
"00:18:02","21.510"
"00:18:03","21.503"
"00:18:04","21.510"
"00:18:05","21.517"
"00:18:06","21.510"
"00:18:07","21.503"
"00:18:08","21.503"
"00:18:09","21.496"
"00:18:10","21.503"
"00:18:11","21.503"
"00:18:12","21.507"
"00:18:13","21.510"
"00:18:14","21.503"
"00:18:15","21.507"
"00:18:16","21.511"
"00:18:17","21.503"
"00:18:18","21.515"
"00:18:19","21.515"
"00:18:20","21.507"
"00:18:21","21.515"
"00:18:22","21.511"
"00:18:23","21.511"
"00:18:24","21.511"
"00:18:25","21.508"
"00:18:26","21.497"
"00:18:27","21.500"
"00:18:28","21.504"
"00:18:29","21.501"
"00:18:30","21.504"
"00:18:31","21.508"
"00:18:32","21.501"
"00:18:33","21.497"
"00:18:34","21.508"
"00:18:35","21.508"
"00:18:36","21.505"
"00:18:37","21.512"
"00:18:38","21.516"
"00:18:39","21.520"
"00:18:40","21.523"
"00:18:41","21.523"
"00:18:42","21.520"
"00:18:43","21.516"
"00:18:44","21.505"
"00:18:45","21.527"
"00:18:46","21.516"
"00:18:47","21.502"
"00:18:48","21.505"
"00:18:49","21.502"
"00:18:50","21.505"
"00:18:51","21.513"
"00:18:52","21.509"
"00:18:53","21.509"
"00:18:54","21.520"
"00:18:55","21.513"
"00:18:56","21.520"
"00:18:57","21.520"
"00:18:58","21.528"
"00:18:59","21.502"
"00:19:00","21.510"
"00:19:01","21.517"
"00:19:02","21.524"
"00:19:03","21.510"
"00:19:04","21.506"
"00:19:05","21.510"
"00:19:06","21.517"
"00:19:07","21.510"
"00:19:08","21.517"
"00:19:09","21.518"
"00:19:10","21.521"
"00:19:11","21.521"
"00:19:12","21.514"
"00:19:13","21.521"
"00:19:14","21.518"
"00:19:15","21.518"
"00:19:16","21.525"
"00:19:17","21.540"
"00:19:18","21.533"
"00:19:19","21.536"
"00:19:20","21.529"
"00:19:21","21.521"
"00:19:22","21.529"
